Province/State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20
Hubei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangdong,7.57,8.04,10.67,18.53,35.29,38.41,31.0,24.05,16.35,14.49,10.76,10.98,12.9,9.46,9.39,10.05,8.79,10.6,9.89,9.74,10.03,11.31,11.82,13.42,17.51,16.28,13.53,17.77,19.24,19.92,21.15,27.08,32.66,34.83,37.79,39.38,23.08,11.81,8.0,6.0,5.78,5.46,5.25,4.82,4.75,8.57,11.49,10.68,12.89,10.35,7.87,13.51,29.12
Henan,19.27,19.15,15.64,10.6,4.74,5.55,8.86,11.81,13.96,15.17,16.47,15.32,15.78,17.23,17.96,16.99,17.44,16.58,17.94,17.46,18.37,16.54,15.32,12.25,14.3,15.76,15.12,14.46,14.17,13.58,11.84,10.14,8.24,7.99,6.91,6.66,12.21,18.12,18.11,20.04,19.78,20.18,20.57,20.75,24.04,21.55,17.3,17.69,17.48,18.65,19.22,15.69,10.68
Zhejiang,2.86,2.96,3.64,5.14,6.77,5.6,4.37,3.34,2.88,2.03,1.79,2.3,1.63,1.29,1.06,1.27,1.36,1.05,0.9,0.98,1.01,1.1,1.08,1.32,2.08,2.1,1.8,2.98,3.54,4.5,4.91,4.56,5.21,4.23,4.1,4.68,4.19,2.55,1.83,1.82,1.73,1.64,1.64,1.48,1.64,2.31,3.18,2.51,3.5,3.72,2.94,4.63,7.12
Hunan,16.43,16.76,17.39,16.41,10.8,9.31,14.35,18.84,23.14,23.57,26.46,22.61,25.56,26.91,28.09,28.07,28.8,28.31,27.76,28.55,28.1,27.79,24.9,19.94,25.66,26.37,25.76,25.39,24.6,24.52,25.33,24.42,20.66,20.16,18.91,16.52,20.8,25.96,27.77,27.54,27.9,27.9,28.13,27.7,27.67,26.52,25.99,25.49,25.78,25.71,27.47,25.14,19.44
Anhui,6.76,6.72,5.92,4.09,2.62,2.3,3.05,3.29,3.79,5.57,4.58,4.11,4.42,4.44,5.07,4.52,4.51,4.65,4.46,3.86,4.45,4.25,4.35,3.77,3.75,4.02,4.56,4.1,3.56,3.63,3.52,3.18,2.97,2.67,2.67,2.82,3.42,4.47,5.58,5.42,5.34,4.97,5.22,5.52,4.93,4.91,4.76,5.12,4.73,4.82,5.41,4.89,3.54
Jiangxi,7.97,7.83,7.12,5.64,3.44,2.72,3.57,5.03,5.73,5.51,5.27,5.22,4.57,5.84,4.92,5.21,5.24,5.77,4.96,5.55,4.99,5.14,4.53,3.98,5.0,5.0,5.32,5.09,5.17,5.51,5.29,5.26,4.51,4.43,4.06,3.57,4.73,5.26,5.71,5.78,6.43,6.0,5.93,6.23,5.69,5.51,5.44,5.77,5.55,5.37,5.68,5.74,4.57
Shandong,2.54,2.17,2.04,1.74,1.59,1.43,1.03,0.92,0.82,0.69,0.84,1.21,0.98,1.18,0.88,1.02,0.94,0.7,0.93,0.88,0.84,0.84,0.96,0.86,0.95,0.87,1.0,1.19,1.14,0.96,0.97,0.95,0.91,0.91,0.77,0.73,1.17,1.45,0.96,1.55,1.28,1.45,1.63,1.07,1.47,1.4,1.28,1.69,1.67,1.7,1.65,1.54,1.06
Jiangsu,3.69,3.83,4.51,5.93,6.63,5.75,4.69,3.37,2.75,2.67,2.1,2.79,2.4,2.14,1.79,1.53,1.95,1.73,1.49,1.61,1.78,1.82,1.62,1.76,1.85,2.05,2.1,2.65,2.39,2.7,3.33,3.07,3.38,3.79,3.84,3.84,2.79,2.23,2.01,2.25,2.06,2.17,2.23,2.14,2.27,2.59,3.2,3.79,2.77,2.76,2.91,3.18,4.14
Chongqing,8.16,8.37,9.19,8.55,3.97,4.69,8.02,10.91,14.07,14.05,15.06,12.38,15.5,15.42,14.98,15.28,14.83,14.77,15.8,14.74,13.96,14.27,11.32,10.0,11.27,11.93,12.24,11.46,11.42,10.33,9.55,8.07,7.04,6.23,5.53,5.65,9.99,13.8,15.53,16.05,14.96,16.31,15.95,15.67,14.36,13.51,13.63,13.3,12.63,12.68,12.38,11.8,7.39
