,i,j,dist
0,0,1,43872983.62183817
1,0,2,2635382.162170505
2,0,3,50482187.46687906
3,0,4,1366682315.636201
4,0,5,1988405.9252580013
5,0,6,32848844.61448535
6,0,7,6671695.150280891
7,0,8,39489865.20388523
8,0,9,45173170.30168838
9,0,10,186567.17030094835
10,0,11,16879851.2159412
11,0,12,22167172.109741252
12,0,13,40185331.88385585
13,0,14,16612485.76147338
14,0,15,41383897.31133766
15,0,16,37593511.78130755
16,0,17,36628301.29369855
17,0,18,27003622.584427685
18,0,19,39446588.40300494
19,0,20,5844532.636187315
20,0,21,26016020.8643528
21,0,22,29071278.282872364
22,0,23,41042026.22256625
23,0,24,2102710.499040101
24,0,25,50192877.582464434
25,0,26,15295346.0351426
26,0,27,11615301.391519047
27,0,28,31022090.94707958
28,0,29,50649826.63845964
29,0,30,20536958.957699843
30,0,31,48214125.64942423
31,0,32,39906501.336416066
32,0,33,14941753.367490612
33,0,34,2953866.7589647416
34,0,35,13898074.731830489
35,0,36,22900347.11854786
36,0,37,18714178.555354465
37,0,38,47838487.17520468
38,0,39,22902056.639828835
39,0,40,20123636.239544876
40,0,41,43649373.05609718
41,0,42,1206185.3170106101
42,0,43,54472398.20951797
43,0,44,27672241.969630178
44,0,45,24626236.550476998
45,0,46,2445095.77335466
46,0,47,7879185.380072935
47,0,48,9423970.75427258
48,0,49,9940217.023812264
49,0,50,34509927.74048231
50,0,51,4490320.806459732
51,0,52,27234.636275622535
52,0,53,1716328.2581839724
53,0,54,2216493.6855840106
54,0,55,1654771.1757416902
55,0,56,3588079.677358295
56,0,57,49802661.29514103
57,0,58,31804662.99836444
58,0,59,31556507.100572236
59,0,60,31980232.96756316
60,0,61,31373669.417884894
61,0,62,18730112.22462364
62,0,63,45940257.86952872
63,0,64,44602952.66414624
64,0,65,44173129.675183006
65,0,66,45764411.80353069
66,0,67,45552749.55456051
67,0,68,5551502.043208883
68,0,69,5998941.640291262
69,0,70,7151065.665103632
70,0,71,5869937.097752344
71,0,72,22521261.91860696
72,0,73,43618871.3976516
73,0,74,44080461.10834359
74,0,75,43163397.62690866
75,0,76,40934508.38546367
76,0,77,40265974.44680108
77,0,78,39874773.13749842
78,0,79,41357932.63361188
79,0,80,14297096.439400215
80,0,81,36972060.34790068
81,0,82,6731847.411872789
82,0,83,26870324.995542116
83,0,84,40270397.84017714
84,0,85,25629428.93349938
85,0,86,20819380.290140502
86,0,87,17106864.447951406
87,0,88,32457499.09548273
88,0,89,2616211.189982202
89,0,90,47178437.33536649
90,0,91,15504538.001273122
91,0,92,39857953.18727267
92,0,93,30935148.233612217
93,0,94,16629828.446310962
94,0,95,27456119.83810056
95,0,96,26097788.38555877
96,0,97,921770.3697140428
97,0,98,34487431.54228619
98,0,99,29249511.797533635
99,0,100,18567203.31516318
100,0,101,47227321.549319014
101,0,102,26648858.534839313
102,0,103,457954.9070994838
103,0,104,2339028.937882942
104,0,105,42003042.63926266
105,0,106,25635122.430446394
106,0,107,45936649.192619205
107,0,108,15712867.405151885
108,0,109,10181.808728209366
109,0,110,38696587.38691342
110,0,111,174173.4707433774
111,0,112,30022021.40027102
112,0,113,30083433.360130504
113,0,114,4035659.9983571535
114,0,115,23017676.22970829
115,0,116,20920521.875503477
116,0,117,48643238.90192078
117,0,118,45169330.871458784
118,0,119,39525106.04523526
119,0,120,40659924.72005588
120,0,121,51304956.520785436
121,0,122,41021573.663891636
122,0,123,43585847.520064496
123,0,124,1985565.971190873
124,0,125,42939956.73377715
125,0,126,39980493.5542362
126,0,127,6426561.288753892
127,0,128,45963604.03653534
128,0,129,45641094.64745863
129,0,130,39142698.94406506
130,0,131,88902.76450347072
131,0,132,31000082.619308285
132,0,133,2638606.849488313
133,0,134,7290548.762662673
134,0,135,40205214.107119575
135,0,136,581494.3618608898
136,0,137,66961.11355932892
137,0,138,36938647.493638396
138,0,139,476554.6512146352
139,0,140,2190529.107947057
140,0,141,14073.7290276536
141,0,142,15654966.080444783
142,0,143,6859303.349207302
143,0,144,50672050.23661357
144,0,145,38609347.297278255
145,0,146,43682352.40558909
146,0,147,13579766.271934375
147,0,148,29201234.804061696
148,0,149,26138831.73013912
149,0,150,50927981.1948734
150,0,151,46902592.82506302
151,0,152,16297603.4823663
152,0,153,1053642.7704340604
153,0,154,43463097.26646767
154,0,155,1552594.3155237855
155,0,156,2083949.818046228
156,0,157,3454101.0753229037
157,0,158,19647671.113287143
158,0,159,93224.24566091175
159,0,160,29447322.612961777
160,0,161,26692770.336026557
161,0,162,46034193.94892284
162,0,163,40575855.61252913
163,0,164,51409861.06327964
164,0,165,6670706.106197332
165,0,166,6031893.757297919
166,0,167,45843181.26854953
167,0,168,20023480.49717603
168,0,169,1932665.2334792851
169,0,170,1888248.9344039266
170,0,171,4054829.4427669616
171,0,172,51275461.96484953
172,0,173,5710233.888257207
173,0,174,39613981.38080787
174,0,175,46321329.46657993
175,0,176,49600143.96588594
176,0,177,38360936.699406415
177,0,178,1445268.9136179108
178,0,179,2013881.9827836398
179,0,180,1660134.3655078933
180,0,181,214687.66506089104
181,0,182,31300937.449039422
182,0,183,137281.06996029688
183,0,184,7319.148088139197
184,0,185,1044889.4346934652
185,0,186,1652973.8010632764
186,0,187,4777353.857177775
187,0,188,2418290.392334309
188,0,189,3855528.171859175
189,0,190,15077.617196152822
190,0,191,23519465.893878065
191,0,192,15765.793994957228
192,0,193,43630.71979133859
193,0,194,31933.24996698197
194,0,195,38795.68177172544
195,0,196,1830263.1232462567
196,0,197,1768613.4982938701
197,0,198,2026807.399842232
198,0,199,2434023.157721597
199,0,200,51913554.86765979
200,0,201,36673104.02821024
