item,0,1,t
0,-11.702077842981392,-111.08857084571825,0
1,25.044777583421325,-490.909657388207,0
2,-112.49269944343992,-4.9490049123625885,0
3,-365.6724273954779,-273.795928668624,0
4,56.26850875575441,-278.5057043250319,0
5,-260.072057048858,-121.98258887080851,0
6,-135.98867700599766,-307.82864085199424,0
7,-357.80574342079956,93.95636539788921,0
8,-381.1444159155977,-86.81354541113788,0
9,216.03684694635436,-96.37378694172158,0
10,459.1255594312795,-4.5127143906427785,0
11,-960.9110112259594,542.7086420287823,0
12,-318.28760782129547,304.260266308656,0
13,-454.7173033203588,-187.6908141428735,0
14,-297.863543841677,274.18912915801025,0
15,-226.02946962965743,-397.417782815888,0
16,247.0979616096601,-397.0103447628826,0
17,106.80609060343994,148.11366411039333,0
18,588.2523884476971,-253.2031437498185,0
19,257.205735643925,-628.375237799479,0
20,304.6646534565001,-228.43240463488567,0
21,-351.3720618679351,254.2025868775665,0
22,-87.18865109376543,227.45999086457138,0
23,455.5230142861623,372.8914944301916,0
24,4.40806063316033,-528.4202902719384,0
25,-632.2955912100938,286.064708875438,0
26,-834.3126838022033,359.3002644093516,0
27,1183.8132948156065,720.7647338371062,0
28,-245.08213838983212,524.7447893081594,0
29,214.562280171938,288.3018886208469,0
30,726.4648897376588,335.2883952277699,0
31,37.54125425340356,-527.2135827620277,0
32,1158.686556034153,233.4646519733889,0
0,-11.565526350096464,-110.76519689430185,1
1,25.033062353191358,-491.74192637100305,1
2,-112.40758693103663,-4.578952704542975,1
3,-365.88235833237746,-274.84316856721034,1
4,56.22509067018911,-279.1923758804232,1
5,-260.1449883180615,-122.2919277055477,1
6,-135.9013766654378,-307.5458199123548,1
7,-357.8031681172989,94.38558944314349,1
8,-381.242282760156,-87.33827963054071,1
9,215.97760053544565,-96.88125115618675,1
10,458.93192317643377,-5.001446850321386,1
11,-960.9450386798552,542.6219855224518,1
12,-318.3348196002581,303.92758834571544,1
13,-454.8185375524833,-188.40814844765356,1
14,-297.8662865768893,274.5055794550909,1
15,-226.06971946919757,-397.6937426534662,1
16,247.14730684295154,-396.9798258755576,1
17,106.74325148421532,148.06104841737033,1
18,588.2160464079601,-253.2009770754686,1
19,257.13471531872983,-628.5394410395339,1
20,304.6624854819128,-228.45765433264944,1
21,-351.3501659373806,254.32464519334414,1
22,-87.17359034494896,227.52373914248628,1
23,455.5052831859902,372.9276767294217,1
24,4.388205919508746,-528.515506977452,1
25,-632.3622095278969,286.05134131941423,1
26,-834.368295782247,359.1865914977588,1
27,1183.757023834821,720.5692369644506,1
28,-245.08125038125996,524.8170977852576,1
29,214.5503858256063,288.32988549931775,1
30,726.462263747411,335.282176497935,1
31,37.53132689657776,-527.2611911147847,1
32,1158.6816516499928,233.43899656426638,1
0,-12.219252260131938,-114.84370191819754,2
1,24.19123238759871,-497.9343919193847,2
2,-111.69747390970392,1.9347324475074337,2
3,-366.2749065350847,-277.11315829792323,2
4,56.050811062455104,-280.851169124321,2
5,-259.9986470337733,-120.96667491056759,2
6,-135.79366582751905,-306.55891423672773,2
7,-357.9049110518311,94.11029142171168,2
8,-381.5918563981396,-89.21731229338485,2
9,215.5936978800087,-99.37554031623586,2
10,458.7237185368202,-6.000184977239099,2
11,-960.9338838873016,542.7265738498661,2
12,-318.5586435828247,302.4563878469285,2
13,-454.9961862194533,-189.8238731435813,2
14,-297.784421020007,274.9982956734726,2
15,-226.03331769688248,-397.27871703087294,2
16,247.13080669371723,-397.0033656735899,2
17,106.6104031189715,147.27701292603527,2
18,588.2144930730068,-253.03825350518989,2
19,257.12563160936827,-628.4085916082126,2
20,304.6919117868755,-228.3037218779143,2
21,-351.4051289294021,253.9717191283985,2
22,-87.1239680556388,228.07652636172182,2
23,455.52420552996176,373.05673426481707,2
24,4.388205919508746,-528.515506977452,2
25,-632.3850740200598,286.07138369348615,2
26,-834.3685329592566,359.19399642873526,2
27,1183.658124213977,720.4052337078213,2
28,-245.1079764685779,524.771830901849,2
29,214.4912598467428,288.1376853807918,2
30,726.4431866230063,335.2650812879957,2
31,37.53132689657776,-527.2611911147847,2
32,1158.6760520731618,233.43977705404916,2
0,-14.140032589854803,-124.50136161419822,3
1,22.225758578540763,-514.227706222967,3
2,-110.68295693579583,10.859700969099883,3
3,-366.8262933236562,-280.98296873211973,3
4,56.00932016901988,-280.0312764217307,3
5,-259.81995751157547,-118.55236306710371,3
6,-135.36192787952487,-303.4584114281078,3
7,-357.8007540917412,94.48899662751856,3
8,-382.0756362818599,-92.57370163257629,3
9,215.39705255143272,-99.66556183172915,3
10,458.4338583712368,-6.5505867811845135,3
11,-960.9713954737283,542.7699862850742,3
12,-318.8732312180239,300.2008338861497,3
13,-455.3155461223781,-191.9044099364753,3
14,-297.66642257764886,275.38587973552484,3
15,-225.90320038246136,-396.2928227613891,3
16,247.36370788813562,-396.1007937924595,3
17,106.46467366388819,146.33988733561722,3
18,588.2140123933481,-252.7065876347976,3
19,257.10980679923495,-628.3460863392063,3
20,304.60297387124547,-228.84734320318228,3
21,-351.51855257390605,253.19156089755006,3
22,-87.04207447600777,228.45887216714763,3
23,455.5096408322744,373.1846617204328,3
24,4.358423849031367,-528.6583320357224,3
25,-632.622992828393,285.3491233582291,3
26,-834.4131005660721,359.190724863033,3
27,1183.579071137605,720.3343366037174,3
28,-245.18870331194822,524.5483932720847,3
29,214.42811749229094,287.9921383302415,3
30,726.3882698356331,335.1249724774976,3
31,37.53132689657776,-527.2611911147847,3
32,1158.6678265060832,233.43433881399702,3
0,-16.823232552088605,-138.01295066964576,4
1,18.04017775195361,-548.4679372974546,4
2,-109.57313234457874,20.486973133363602,4
3,-367.52533684967835,-285.93926145739437,4
4,57.08978565225101,-270.2220857268707,4
5,-259.46504694819834,-116.15391712408281,4
6,-134.88706620723204,-299.67860600403606,4
7,-358.133765299591,93.45311448567698,4
8,-382.3971641593719,-94.6794881232341,4
9,216.3038803845317,-91.52101339028013,4
10,458.57441894718204,-5.437889391356967,4
11,-961.10919890988,542.383300700036,4
12,-319.4147965053628,297.8604650054156,4
13,-455.6377872025894,-193.5523130008565,4
14,-297.6682891605493,275.13459483386083,4
15,-226.1502401406065,-398.3686960595062,4
16,247.05458042080414,-397.721824313642,4
17,106.80359576273821,148.82723845551277,4
18,588.0284052025983,-253.9265593532824,4
19,257.10894865695195,-628.2097986678328,4
20,304.2913291613218,-230.04473683932858,4
21,-351.68226199056096,252.4126140562704,4
22,-87.07656811474371,228.38913607575805,4
23,455.5414921424034,373.2439579760114,4
24,4.328641778553987,-528.8011570939929,4
25,-632.8805046658296,284.530573045446,4
26,-834.5792331443531,358.8253807823373,4
27,1183.6016984527582,720.321699160622,4
28,-245.31073446825377,524.2032411720321,4
29,214.40872896347943,287.88000120978705,4
30,726.3761826733995,335.05422497996494,4
31,37.50154482610038,-527.4040161730552,4
32,1158.670452496331,233.44055754383194,4
0,-20.38632001780387,-155.24696863968228,5
1,16.45166836282639,-557.5745429052466,5
2,-109.77112491777972,17.79631665977698,5
3,-367.58630499414096,-285.0192072612988,5
4,57.286955669248584,-268.41009946888136,5
5,-259.2419428377112,-115.41724758012941,5
6,-134.98849703257642,-299.77541025035293,5
7,-358.2434008715559,92.71927053541705,5
8,-382.5877435544067,-94.23257534867626,5
9,215.76874462168723,-94.64271521398928,5
10,458.3645820912486,-6.495163414395528,5
11,-961.2571967461561,541.7478155447458,5
12,-319.58772087116256,297.8497820778243,5
13,-455.88949311936324,-194.06852438492336,5
14,-297.53422337229756,275.65453318543797,5
15,-226.48924841335096,-400.2413301394148,5
16,247.04764017849126,-397.5720568435209,5
17,106.84847196353131,149.12570586824987,5
18,587.5508395353428,-257.09575591421407,5
19,257.0263171952126,-628.895227900721,5
20,304.2815521028303,-229.56848494767462,5
21,-351.76156858230166,252.34490077716703,5
22,-87.01764944660086,228.79733727373198,5
23,455.4381723322681,372.6059313679473,5
24,4.328641778553987,-528.8011570939929,5
25,-632.9532367934918,284.00312257827073,5
26,-834.6759748033295,358.3655501090562,5
27,1183.572655936059,720.0462888964662,5
28,-245.3621834614554,523.9288423140196,5
29,214.3689453087792,287.5871209572681,5
30,726.3099019392115,334.70656236007306,5
31,37.49161746927459,-527.4516245258119,5
32,1158.6652005158355,233.4281200841621,5
