item,0,1,t
0,-54798.23350898532,3578.6191614576023,0
1,-55211.40895842993,3764.0573107310565,0
2,-55210.71753922051,3995.403611553053,0
3,-55220.672678850475,3662.2702953197754,0
4,-55212.70163443941,3936.896246756842,0
5,-55231.82733323248,3745.770337845957,0
6,-55222.545561358704,3765.5343149769374,0
7,-55234.70609672304,3660.032331666455,0
8,-55235.43207946573,3684.0223437958643,0
9,-55214.11776674321,3766.1624847625317,0
10,-55234.17860659217,3695.2967197740268,0
11,-55231.776745377996,3613.7156873856165,0
12,-55215.1969208378,3630.4705074701856,0
13,-55219.898429616944,3625.1984709588064,0
14,-55234.08597755555,3649.549965285475,0
15,-55230.05569725651,3654.653849154415,0
16,-55233.220570023506,3644.5801582332742,0
17,-55230.56924137672,3673.8041512271598,0
18,-55232.09522804648,3629.7902346341925,0
19,-55226.57328609391,3622.004998525852,0
20,-55231.64027595144,3633.8815996561684,0
21,-55225.685688305544,3607.9352581976327,0
22,-55231.12691192974,3629.411265836858,0
23,-55231.149528888454,3619.968993263502,0
24,-55228.99688179026,3602.209384137545,0
25,-55231.0378139288,3616.5820907075217,0
26,-55231.43866065788,3610.0049356759364,0
27,-55231.086880438685,3607.837159521399,0
28,-55231.571872154585,3609.99303506615,0
29,-55229.17898628666,3604.8828572453162,0
30,-55229.77215663149,3604.0093196217526,0
31,-55228.0083209967,3602.141984033094,0
32,-55229.47478784297,3602.364433698297,0
0,-54797.18453567679,3577.921110655679,1
1,-55203.57096959678,3772.218599799593,1
2,-55210.451166101186,3992.7191565061285,1
3,-55203.79948482471,3663.2102480146464,1
4,-55206.6276211701,3942.713446058453,1
5,-55223.96944724843,3744.4485847772753,1
6,-55216.98490286513,3761.873288169409,1
7,-55231.60731303514,3652.611244204608,1
8,-55231.458211454235,3686.6744969220736,1
9,-55210.689618191645,3770.0474359546915,1
10,-55232.55772918251,3695.3699511227815,1
11,-55229.99818179682,3613.091097892458,1
12,-55206.94773475915,3630.141956524005,1
13,-55212.486895971415,3629.013115055058,1
