item,0,1,t
0,-18.844858,-24.875395,0
1,-13.117386,-42.59283,0
2,-17.855824,-39.81959,0
3,-17.659609,-21.3144,0
4,-3.6794844,-45.404243,0
5,-19.608082,-20.610926,0
6,-12.044974,-18.530111,0
7,-11.238655,-35.28719,0
8,-18.857023,-21.445381,0
9,-20.372456,-17.17214,0
10,-21.4695,-15.033289,0
11,-0.20519859,-34.800884,0
12,37.233543,-5.3548126,0
13,-0.31409872,-49.734066,0
14,-21.609413,-17.809063,0
15,-12.386829,-29.347015,0
16,-19.107307,-43.133793,0
17,-0.09740897,-22.258806,0
18,-1.1668019,-21.983446,0
19,-6.153309,-33.41904,0
20,-8.718076,-31.21559,0
21,-9.947824,-20.60326,0
22,3.5764382,-40.981976,0
23,-12.553239,-30.331594,0
24,-14.494709,-45.99077,0
25,1.9640398,-43.26784,0
26,-21.369621,-21.715673,0
27,0.94314086,-51.166058,0
28,-14.591531,-41.72757,0
29,-3.0852106,-45.70468,0
30,-16.745749,-41.480957,0
31,-10.089083,-33.21179,0
32,-1.6346078,-35.990253,0
33,-18.949045,-37.834335,0
34,-8.52975,-45.29012,0
35,-2.1614168,-32.237995,0
36,-9.981337,-30.082098,0
37,-13.0588875,-31.158875,0
38,-18.958494,-26.280972,0
39,-8.192141,-32.05407,0
40,-1.0632901,-48.87663,0
41,-19.863178,-15.614853,0
42,-5.956141,-29.736683,0
43,4.2871933,-41.350292,0
44,-0.48974186,-45.029724,0
45,-12.437954,-44.367737,0
46,-14.884553,-23.653872,0
47,-15.081986,-42.863758,0
48,-11.706796,-20.710836,0
49,0.0016601195,-37.424397,0
50,-18.0699,-23.325441,0
51,0.41846797,-34.752396,0
52,0.6986399,-52.188114,0
53,-18.674713,-41.486454,0
54,46.299305,-7.1888227,0
55,-9.903389,-39.702305,0
56,2.4272544,-21.08392,0
57,6.376636,-13.404834,0
58,5.9556375,-12.777165,0
59,-20.462671,-20.649122,0
60,-6.330051,-34.383057,0
61,36.07209,-1.234284,0
62,-0.9371658,-21.548826,0
63,36.450104,-6.00092,0
64,1.365019,-18.806646,0
65,1.170466,-20.430382,0
66,34.85668,-3.5071576,0
67,-9.601853,-20.329535,0
68,8.267312,-14.71122,0
69,8.135158,-11.0573845,0
70,3.0158246,-15.220328,0
71,-0.42502505,-21.255743,0
72,7.2769027,3.1512628,0
73,-1.3750352,-38.11493,0
74,7.335319,-40.490215,0
75,-6.3527665,-32.154423,0
76,11.6354065,1.0186409,0
77,6.2811327,-41.72198,0
78,-5.268708,-28.355894,0
79,8.064887,-11.146219,0
80,6.1863546,-15.615612,0
81,4.4441733,-3.6741023,0
82,30.310778,1.8396101,0
83,34.939262,-2.5516267,0
84,0.18680649,-21.181412,0
